,Make,Model,Type,Min Price,Mid Price,Max Price,MPG City,MPG Highway,Air Bags,Drive Train
1,acura,integra,small,129,159,188,25,31,0,front
2,acura,legend,midsize,292,339,387,18,25,2,front
3,audi,90,compact,259,291,323,20,26,1,front
4,audi,100,midsize,308,377,446,19,26,2,front
5,bmw,535i,midsize,237,300,362,22,30,1,rear
6,buick,century,midsize,142,157,173,22,31,1,front
7,buick,lesabre,large,199,208,217,19,28,1,front
8,buick,roadmaster,large,226,237,249,16,25,1,rear
9,buick,riviera,midsize,263,263,263,19,27,1,front
10,cadillac,deville,large,330,347,363,16,25,1,front
11,cadillac,seville,midsize,375,401,427,16,25,2,front
12,chevrolet,cavalier,compact,85,134,183,25,36,0,front
13,chevrolet,corsica,compact,114,114,114,25,34,1,front
14,chevrolet,camaro,sporty,134,151,168,19,28,2,rear
15,chevrolet,lumina,midsize,134,159,184,21,29,0,front
16,chevrolet,lumina apv,van,147,163,180,18,23,0,front
17,chevrolet,astro,van,147,166,186,15,20,0,all
18,chevrolet,caprice,large,180,188,196,17,26,1,rear
19,chevrolet,corvette,sporty,346,380,415,17,25,1,rear
20,chrylser,concorde,large,184,184,184,20,28,2,front
21,chrysler,lebaron,compact,145,158,171,23,28,2,front
22,chrysler,imperial,large,295,295,295,20,26,1,front
23,dodge,colt,small,790,920,106,29,33,0,front
24,dodge,shadow,small,84,113,142,23,29,1,front
25,dodge,spirit,compact,119,133,147,22,27,1,front
26,dodge,caravan,van,136,190,244,17,21,1,all
27,dodge,dynasty,midsize,148,156,164,21,27,1,front
28,dodge,stealth,sporty,185,258,331,18,24,1,all
29,eagle,summit,small,790,122,165,29,33,0,front
30,eagle,vision,large,175,193,212,20,28,2,front
31,ford,festiva,small,69,74,79,31,33,0,front
32,ford,escort,small,84,101,119,23,30,0,front
33,ford,tempo,compact,104,113,122,22,27,0,front
34,ford,mustang,sporty,108,159,210,22,29,1,rear
35,ford,probe,sporty,128,140,152,24,30,1,front
36,ford,aerostar,van,145,199,253,15,20,1,all
37,ford,taurus,midsize,156,202,248,21,30,1,front
38,ford,crown victoria,large,201,209,217,18,26,1,rear
39,geo,metro,small,67,84,100,46,50,0,front
40,geo,storm,sporty,115,125,135,30,36,1,front
41,honda,prelude,sporty,170,198,227,24,31,2,front
42,honda,civic,small,84,121,158,42,46,1,front
43,honda,accord,compact,138,175,212,24,31,2,front
44,hyundai,excel,small,68,80,92,29,33,0,front
45,hyundai,elantra,small,90,100,110,22,29,0,front
46,hyundai,scoupe,sporty,91,100,110,26,34,0,front
47,hyundai,sonata,midsize,124,139,153,20,27,0,front
48,infiniti,q45,midsize,454,479,504,17,22,1,rear
49,lexus,es300,midsize,275,28,284,18,24,1,front
50,lexus,sc300,midsize,347,352,356,18,23,2,rear
51,lincoln,continental,midsize,333,343,353,17,26,2,front
52,lincoln,town car,large,344,361,378,18,26,2,rear
53,mazda,323,small,74,83,91,29,37,0,front
54,mazda,protege,small,109,116,123,28,36,0,front
55,mazda,626,compact,143,165,187,26,34,1,front
56,mazda,mpv,van,166,191,217,18,24,0,all
57,mazda,rx-7,sporty,325,325,325,17,25,1,rear
58,mercedes-benz,190e,compact,290,319,349,20,29,1,rear
59,mercedes-benz,300e,midsize,438,619,800,19,25,2,rear
60,mercury,capri,sporty,133,141,150,23,26,1,front
61,mercury,cougar,midsize,149,149,149,19,26,0,rear
62,mitsubishi,mirage,small,77,103,129,29,33,0,front
63,mitsubishi,diamante,midsize,224,261,299,18,24,1,front
64,nissan,sentra,small,87,118,149,29,33,1,front
65,nissan,altima,compact,130,157,183,24,30,1,front
66,nissan,quest,van,167,191,215,17,23,0,front
67,nissan,maxima,midsize,210,215,220,21,26,1,front
68,oldsmobile,achieva,compact,130,135,140,24,31,0,front
69,oldsmobile,cutlass ciera,midsize,142,163,184,23,31,1,front
70,oldsmobile,silhouette,van,195,195,195,18,23,0,front
71,oldsmobile,eighty-eight,large,195,207,219,19,28,1,front
72,plymouth,laser,sporty,114,144,174,23,30,0,all
73,pontiac,lemans,small,82,90,99,31,41,0,front
74,pontiac,sunbird,compact,94,111,128,23,31,0,front
75,pontiac,firebird,sporty,140,177,214,19,28,2,rear
76,pontiac,grand prix,midsize,154,185,216,19,27,0,front
77,pontiac,bonneville,large,194,244,294,19,28,2,front
78,saab,900,compact,203,287,371,20,26,1,front
79,saturn,sl,small,92,111,129,28,38,1,front
80,subaru,justy,small,73,84,95,33,37,0,all
81,subaru,loyale,small,105,109,113,25,30,0,all
82,subaru,legacy,compact,163,195,227,23,30,1,all
83,suzuki,swift,small,73,86,100,39,43,0,front
84,toyota,tercel,small,78,98,118,32,37,1,front
85,toyota,celica,sporty,142,184,226,25,32,1,front
86,toyota,camry,midsize,152,182,212,22,29,1,front
87,toyota,previa,van,189,227,266,18,22,1,all
88,volkswagen,fox,small,87,91,95,25,33,0,front
89,volkswagen,eurovan,van,166,197,227,17,21,0,front
90,volkswagen,passat,compact,176,200,224,21,30,0,front
91,volkswagen,corrado,sporty,229,233,237,18,25,0,front
92,volvo,240,compact,218,227,235,21,28,1,rear
93,volvo,850,midsize,248,267,285,20,28,2,front
